probe,rep,si,no,astenuti,ok,finish_reason,error
P3_elettore_medio,25,0.0,100.0,0.0,True,stop,
P2_aggregata_informed,23,42.5,47.5,10.0,True,stop,
P2_aggregata_informed,20,42.5,47.5,10.0,True,stop,
P1_aggregata_ballot,14,45.0,40.0,15.0,True,stop,
P3_elettore_medio,24,0.0,0.0,100.0,True,stop,
P1_aggregata_ballot,21,45.5,42.0,12.5,True,stop,
P2_aggregata_informed,22,42.5,48.0,9.5,True,stop,
P3_elettore_medio,23,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,28,42.5,47.5,10.0,True,stop,
P2_aggregata_informed,21,42.5,47.5,10.0,True,stop,
P3_elettore_medio,0,0.0,0.0,100.0,True,stop,
P3_elettore_medio,22,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,24,42.5,48.0,9.5,True,stop,
P2_aggregata_informed,18,42.5,48.0,9.5,True,stop,
P3_elettore_medio,21,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,25,42.5,48.0,9.5,True,stop,
P3_elettore_medio,20,100.0,0.0,0.0,True,stop,
P2_aggregata_informed,27,42.5,47.5,10.0,True,stop,
P1_aggregata_ballot,23,35.0,45.0,20.0,True,stop,
P1_aggregata_ballot,3,35.0,45.0,20.0,True,stop,
P2_aggregata_informed,29,38.5,42.0,19.5,True,stop,
P2_aggregata_informed,16,42.5,47.5,10.0,True,stop,
P3_elettore_medio,19,0.0,0.0,100.0,True,stop,
P1_aggregata_ballot,18,45.0,40.0,15.0,True,stop,
P3_elettore_medio,18,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,17,42.5,47.5,10.0,True,stop,
P3_elettore_medio,17,0.0,100.0,0.0,True,stop,
P2_aggregata_informed,13,42.5,47.5,10.0,True,stop,
P3_elettore_medio,16,0.0,100.0,0.0,True,stop,
P3_elettore_medio,2,0.0,100.0,0.0,True,stop,
P2_aggregata_informed,17,42.5,47.5,10.0,True,stop,
P1_aggregata_ballot,11,42.5,45.0,12.5,True,stop,
P3_elettore_medio,4,0.0,100.0,0.0,True,stop,
P3_elettore_medio,15,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,19,42.5,47.5,10.0,True,stop,
P3_elettore_medio,14,0.0,0.0,100.0,True,stop,
P1_aggregata_ballot,10,45.0,40.0,15.0,True,stop,
P2_aggregata_informed,12,42.5,48.0,9.5,True,stop,
P3_elettore_medio,13,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,11,42.0,51.0,7.0,True,stop,
P3_elettore_medio,12,0.0,100.0,0.0,True,stop,
P1_aggregata_ballot,7,45.0,40.0,15.0,True,stop,
P2_aggregata_informed,10,42.5,47.5,10.0,True,stop,
P3_elettore_medio,11,100.0,0.0,0.0,True,stop,
P1_aggregata_ballot,5,45.2,48.5,6.3,True,stop,
P1_aggregata_ballot,13,42.5,47.5,10.0,True,stop,
P2_aggregata_informed,9,45.0,45.0,10.0,True,stop,
P1_aggregata_ballot,6,40.0,45.0,15.0,True,stop,
P3_elettore_medio,10,100.0,0.0,0.0,True,stop,
P2_aggregata_informed,8,42.5,47.5,10.0,True,stop,
P3_elettore_medio,9,0.0,0.0,100.0,True,stop,
P2_aggregata_informed,7,45.0,40.0,15.0,True,stop,
P1_aggregata_ballot,16,42.5,47.5,10.0,True,stop,
